<189>46: *Mar  1 00:07:53.959: %LINK-5-CHANGED: Interface FastEthernet3/0, changed state to administratively down
<189>47: *Mar  1 00:07:54.959: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet3/0, changed state to down
<187>48: *Mar  1 00:07:59.863: %LINK-3-UPDOWN: Interface FastEthernet3/0, changed state to up
<189>49: *Mar  1 00:08:00.863: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet3/0, changed state to up
<189>54: *Mar  1 03:07:44.439: %SYS-5-CONFIG_I: Configured from console by console
<190>55: *Mar  1 03:07:45.447: %SYS-6-LOGGINGHOST_STARTSTOP: Logging to host 202.100.1.138 port 514 started - CLI initiated
<191>56: *Mar  1 03:07:51.191: ICMP: echo reply rcvd, src 202.100.1.138, dst 202.100.1.3
<191>57: *Mar  1 03:07:51.195: ICMP: echo reply rcvd, src 202.100.1.138, dst 202.100.1.3
<191>58: *Mar  1 03:07:51.211: ICMP: echo reply rcvd, src 202.100.1.138, dst 202.100.1.3
<191>59: *Mar  1 03:07:51.211: ICMP: echo reply rcvd, src 202.100.1.138, dst 202.100.1.3
<191>60: *Mar  1 03:07:51.231: ICMP: echo reply rcvd, src 202.100.1.138, dst 202.100.1.3
<189>61: *Mar  1 03:08:18.311: %LINK-5-CHANGED: Interface FastEthernet3/0, changed state to administratively down
<189>62: *Mar  1 03:08:19.311: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet3/0, changed state to down
<189>63: *Mar  1 03:08:19.699: %SYS-5-CONFIG_I: Configured from console by console
<191>64: *Mar  1 03:09:54.987: ICMP: echo reply rcvd, src 202.100.1.138, dst 202.100.1.3
<191>65: *Mar  1 03:09:55.003: ICMP: echo reply rcvd, src 202.100.1.138, dst 202.100.1.3
<191>66: *Mar  1 03:09:55.003: ICMP: echo reply rcvd, src 202.100.1.138, dst 202.100.1.3
<191>67: *Mar  1 03:09:55.023: ICMP: echo reply rcvd, src 202.100.1.138, dst 202.100.1.3
<191>68: *Mar  1 03:09:55.027: ICMP: echo reply rcvd, src 202.100.1.138, dst 202.100.1.3
<187>69: *Mar  1 03:10:08.899: %LINK-3-UPDOWN: Interface FastEthernet3/0, changed state to up
<189>70: *Mar  1 03:10:09.899: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet3/0, changed state to up
<189>71: *Mar  1 03:10:18.339: %LINK-5-CHANGED: Interface FastEthernet3/0, changed state to administratively down
<189>72: *Mar  1 03:10:19.339: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet3/0, changed state to down
